ССЫЛКА;ССЫЛКА С УЧЁТОМ ВЛАДЕЛЬЦА;АВТОР;ССЫЛКА НА АВТОРА;ДАТА И ВРЕМЯ;ТЕКСТ;ПРОСМОТРОВ;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ
https://vk.com/wall-79244517_1866258;https://vk.com/club79244517?w=wall-79244517_1866258;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;4 мар в 18:34;Два железнодорожных вагона сошли с рельсов на станции Заречная в Ростове. Произошло это во время маневровых работ на пути общего пользования. Показать ещёТакже двумя колесными парами с рельсов сошёл тепловоз. Обошлось без пострадавших. Видео могут смотреть только подписчики [club79244517|оригинальной группы «Ростов Главный»];7700;14;23;0
https://vk.com/wall-79244517_1632027?reply=1632203&thread=1632139;https://vk.com/club79244517?w=wall-79244517_1632027_r1632203;Сергей Ростовский;https://vk.com/id61424245;1 авг 2025;[id722237393|Сергей], на заречной;0;0;0;0
https://vk.com/wall-79244517_1628690?reply=1629045;https://vk.com/club79244517?w=wall-79244517_1628690_r1629045;Леночка Супруненко;https://vk.com/id530215519;28 июл 2025;Виски ЗаречнаяКузьма Заречная;0;1;0;0
https://vk.com/wall-79244517_1596084?reply=1596108;https://vk.com/club79244517?w=wall-79244517_1596084_r1596108;Good Weather;https://vk.com/id136440536;17 июн 2025;В Заречном Пензенской обл.Мойва бьёт все рекорды-за год с 99р-120р подорожала аж на 300% +- смотря где-совсем окоянные Осатанели!?(;0;0;0;0
https://vk.com/wall-79244517_1545919;https://vk.com/club79244517?w=wall-79244517_1545919;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;6 мая 2025;Рассвет на Заречный улицеФото: Артем Панфилов;4600;15;2;2
https://vk.com/wall-79244517_1506642;https://vk.com/club79244517?w=wall-79244517_1506642;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;28 мар 2025;"""Наводнение в Красном Сулине! В посёлке Заречном затопило подворья! Вода залила огороды, колодцы, разрушила мостики через ручей! Вместо земли теперь лежит глина и разбросанные брёвна. Показать ещёПричина случившегося понятна — раньше рядом с домами был пруд, из которого вода стекала через трубу и спокойно уходила дальше. Но в ноябре 2024 года какие-то непонятные люди её выкопали. Теперь вся вода хлынула ко мне во двор! Не знаем, кто точно виноват в сложившейся беде, но очень хотим разобраться! Потому что так быть не должно!"", — негодует подписчик группы ""Ростов Главный"". Видео могут смотреть только подписчики [club79244517|оригинальной группы «Ростов Главный»]";18000;54;15;6
https://vk.com/wall-79244517_1466973?reply=1467019&thread=1467009;https://vk.com/club79244517?w=wall-79244517_1466973_r1467019;Сергей А;https://vk.com/id722237393;22 фев 2025;[id755952156|Алексей], табачку кое как вынесли на Заречную,а Тавр уже лет 20 всё никак не могут!;0;0;0;0
https://vk.com/wall-79244517_1441250?reply=1443309&thread=1441258;https://vk.com/club79244517?w=wall-79244517_1441250_r1443309;Василий Алибабаевич;https://vk.com/id869485754;1 фев 2025;[id842990727|Кирилл],;0;0;0;0
https://vk.com/wall-79244517_1422292;https://vk.com/club79244517?w=wall-79244517_1422292;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;14 янв 2025;12 мест для Крещенских купаний оборудуют в Ростове. Всего в области их будет около 70, а за безопасностью будут следить 300 сотрудников МЧС. Показать ещёСпасатели проверяют дно каждого водоема, оценивают уровень подготовки мест.Места для Крещенских купаний в Ростове:Гремучий источник на Портовой, 72 Купель у Храма Преполовения Пятидесятницы на Всесоюзная, 167Серафимовский источник в Ботсаду Район за дамбой Ростовского моря (Храм Веры, Надежды, Любви иМатери их Софьи) на Прокофьева, 34Источник Георгиевский в переулке Красноярском, 13 Храмовая купель в Георгиевском паркена 339-й Стрелковой дивизии, 33Северное водохранилищеу Александро-Невского храма,Космонатов, 2ДСурб-хач, Баграмяна, 1 Район перед дамбой Ростовского моря( Спасский храм) на ОрскойРодник водопадный на Заречной, 54Источник на территории Свято-Иверского монастыря на Неклиновской, 4 Родник «Серебряный» в переулке Красноярский, 13;9600;23;19;3
https://vk.com/wall-79244517_1280666?reply=1281262;https://vk.com/club79244517?w=wall-79244517_1280666_r1281262;Андрей Стратийчук;https://vk.com/id870931953;31 авг 2024;Уж лучше;0;0;0;0
https://vk.com/wall-79244517_1276943?reply=1277643&thread=1277322;https://vk.com/club79244517?w=wall-79244517_1276943_r1277643;Дмитрий Зимин;https://vk.com/id445528127;28 авг 2024;[id216067286|Алексей], всем в звании не ниже генерала армии дадут на берегу моря, ну, а остальным где-нибудь в плавнях, село Заречное, Джанкойский край;0;3;0;0
https://vk.com/wall-79244517_1275325;https://vk.com/club79244517?w=wall-79244517_1275325;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;26 авг 2024;В Ростове на Западном сгорел банный комплекс.Происшествие случилось ранним утром 26 августа наПоказать ещё улице Заречная.Около 05:30 вспыхнула одна из построек «Подворья Романовых». Из-за сильного ветра огонь перекинулся на соседние здания комплекса. За считанные минуты пламя распространилось на 200 квадратных метров частной территории. Черный столб дыма можно было увидеть из соседних микрорайонов города.Очевидцы вызвали пожарных. Тушили пожар 14 человек на пяти единицах специальной техники. В ЧП никто не пострадал. Видео могут смотреть только подписчики группы [club79244517|«Ростов Главный»];21000;44;33;6
https://vk.com/wall-79244517_1245674?reply=1245751;https://vk.com/club79244517?w=wall-79244517_1245674_r1245751;Василий Алибабаевич;https://vk.com/id869485754;1 авг 2024;;0;0;0;0
https://vk.com/wall-79244517_1215915;https://vk.com/club79244517?w=wall-79244517_1215915;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;30 июн 2024;Родник Водопадный. Мощное, шумное место с чистой, прозрачной водой. Заречная ул., 54;6100;22;7;1
https://vk.com/wall-79244517_1128152;https://vk.com/club79244517?w=wall-79244517_1128152;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;20 янв 2023;В Белой Калитве установили памятный знак из осколков снарядов и мин. Памятную композицию «Спасибо деду за Победу!» из металла, обнаруженного поисковиками на полях сражений, открыли 19 января в сквере 70-летия Победы в белокалитвинском микрорайоне Заречный.;729;1;1;0
https://vk.com/wall-79244517_1127985;https://vk.com/club79244517?w=wall-79244517_1127985;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;18 янв 2023;"Для крещенских купаний в Ростове-на-Дону оборудуют 11 купелей Самым популярным, как показывает опыт предыдущих лет, будетПоказать ещё купель на роднике Сурб-Хач 18 и 19 января синоптики обещают относительно теплую для купания погоду. В ночные часы столбик термометра снизится до -2⁰С. В этом году власти оборудуют 11 купелей. Работать они будут 18 и 19 января. Все места будут оборудованы помостом, сходнями и освещением. На местах купаний будут дежурить спасатели, полицейские и врачи Скорой помощи. - 19 января с 10:30 до 11:30 в храме Серафима Саровского на улице Портовой, 72; - 18 января с 11:00 до 19:00 и 19 января с 09:00 до 21:00 в купели на территории храма Преполовения Пятидесятницы на улице Всесоюзной, 167; - 18 января с 14:30 до 15:30 в Серафимовском источнике в Ботаническом саду ЮФУ; - 19 января с 11:00 до 13:00 в храме Веры, Надежды, Любови и Матери их Софьи на улице Прокофьева, 34; - 19 января с 04:30 до 05:00 в Георгиевском источнике у храма Святого Великомученика Георгия Победоносца в переулке Красноярском, 13; - 18 января с 11:00 до 12:00 в храме святого Георгия Победоносца на улице 339-й Стрелковой дивизии, 33; - 18 января с 19:30 до 22:30 в Александро-Невском храме на пересечении проспекта Космонавтов и улицы Капустина; - 18 января с 21:00 до 24:00 на источнике Сурб-Хач на улице Баграмяна, 1; - 18 января с 16:00 до 19:30 и 19 января с 08:00 до 11:30 в Спасском храме на улице Орской; - 18 января с 18:00 до 22:00 и 19 января с 11:00 до 20:00 на Роднике водопадном на улице Заречной, 54; - 18 января с 11:00 до 13:00 и 19 января с 02:30 до 04:00 на источнике при Свято-Иверском женском монастыре на Неклиновской, 4.";926;3;3;0
https://vk.com/wall-79244517_1127314;https://vk.com/club79244517?w=wall-79244517_1127314;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;5 янв 2023;"В Ростовской области мужчине грозит до 8 лет лишения свободы за банку с дымным порохом. Его обвинили в незаконном хранении взрывчатых веществ. Показать ещёИнформация о потенциальном изобретателе СВУ поступила в полицию от бдительных жителей хутора Садки в Тарасовском районе. Правоохранители немедленно организовали обыски в доме у подозрительного 59-летнего пенсионера на улице Заречной. В хозпостройке на территории дома силовики обнаружили металлическую банку, в которой находилась более полукилограмма дымного пороха промышленного изготовления. Специалисты определили, что содержимое банки является взрывчатым веществом метательного типа. Мужчина пытался оправдаться тем, что он охотник и порох ему необходим был исключительно для стрельбы по дичи. Однако, в отношении него сразу возбудили уголовное дело по статье 222.1 ""Незаконное хранение взрывчатых веществ"". Порох изъяли. Ведется следствие.";1100;2;0;1
https://vk.com/wall-79244517_1781765?reply=1782590&thread=1781833;https://vk.com/club79244517?w=wall-79244517_1781765_r1782590;Иван Иванов;https://vk.com/id732506144;3 янв в 8:37;[id327393228|Дамир], северный чкаловский военвед западный лендворец нахаловка центр рабочий городок берберовка Нахичевань Александровка уют сельмашВесь город по сути и не знаю где из этих районов спокойно));0;0;0;0
https://vk.com/wall-79244517_1764651?reply=1764656;https://vk.com/club79244517?w=wall-79244517_1764651_r1764656;Александр Красюков;https://vk.com/id398938658;19 дек 2025;Нахаловка есть свет;0;0;0;0
https://vk.com/wall-79244517_1746642?reply=1747991;https://vk.com/club79244517?w=wall-79244517_1746642_r1747991;Аа Андрей;https://vk.com/id544860251;4 дек 2025;Поддержал повышение пенсионного возраста.... Эх, ростовчане ... весёлый народ...гуляет Северный, Нахаловка и Брод...;0;1;0;0
https://vk.com/wall-79244517_1641788?reply=1641916&thread=1641876;https://vk.com/club79244517?w=wall-79244517_1641788_r1641916;Змей Драконов;https://vk.com/id1063627181;15 авг 2025;[id42172434|Владимир], а я видел когда свою бывшую на соревнования по танцам Vouge водил, как родители водят своих детей мленьких мальчиков на каблуках танцевать и все их лица срисовал, это полу мажоры свинеры изврщенцы! и знаю какая там педофилия происходит! дело было на нахаловке;0;0;0;0
https://vk.com/wall-79244517_1544200?reply=1545943&thread=1544218;https://vk.com/club79244517?w=wall-79244517_1544200_r1545943;Michelle Devurceaux;https://vk.com/id576664686;6 мая 2025;[id7673360|Олька], центр в Ростове - понятие вполне точноеЭто Текучёва-Театралтный-Береговая-Сиверса-ДоломановскийВсё остальное за пределами этого пространства - Берберовки, Нахичевани, Рабочие городки и прочие Нахаловки - уже не центр;0;0;0;0
https://vk.com/wall-79244517_1494169?reply=1494651;https://vk.com/club79244517?w=wall-79244517_1494169_r1494651;Tuu Tikki;https://vk.com/id610277343;18 мар 2025;Нахаловка, раенчик тот ещё...;0;0;0;1
https://vk.com/wall-79244517_1448489?reply=1449402;https://vk.com/club79244517?w=wall-79244517_1448489_r1449402;Георгий Бех;https://vk.com/id820736323;6 фев 2025;Нахаловка самы опасный район;0;0;0;1
https://vk.com/wall-79244517_1448489?reply=1448560;https://vk.com/club79244517?w=wall-79244517_1448489_r1448560;Александр Александр;https://vk.com/id506865420;5 фев 2025;Раньше в 90х нахаловка и лендворец считали самым криминальными районами;0;6;0;1
/wall-79244517_1387770;https://vk.com/club79244517?w=wall-79244517_1387770;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;15 дек 2024;Пожар во дворах Нахаловки: горел разный хлам в заброшенном подвале. Пожарные уже потушили;7300;11;2;0
https://vk.com/wall-79244517_1348417?reply=1348531&thread=1348448;https://vk.com/club79244517?w=wall-79244517_1348417_r1348531;Валентин Рыковский;https://vk.com/id20719996;8 ноя 2024;[id272696301|Андрей], а где на нахаловке? Если не секрет;0;0;0;0
