ССЫЛКА;ССЫЛКА С УЧЁТОМ ВЛАДЕЛЬЦА;АВТОР;ССЫЛКА НА АВТОРА;ДАТА И ВРЕМЯ;ТЕКСТ;ПРОСМОТРОВ;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ
https://vk.com/wall-79244517_1866258;https://vk.com/club79244517?w=wall-79244517_1866258;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;4 Mar at 6:34 pm;Два железнодорожных вагона сошли с рельсов на станции Заречная в Ростове. Произошло это во время маневровых работ на пути общего пользования. Show moreТакже двумя колесными парами с рельсов сошёл тепловоз. Обошлось без пострадавших. Видео могут смотреть только подписчики [club79244517|оригинальной группы «Ростов Главный»];7700;14;23;0
https://vk.com/wall-79244517_1632027?reply=1632203&thread=1632139;https://vk.com/club79244517?w=wall-79244517_1632027_r1632203;Sergey Rostovsky;https://vk.com/id61424245;1 Aug 2025;[id722237393|Сергей], на заречной;0;0;0;0
https://vk.com/wall-79244517_1628690?reply=1629045;https://vk.com/club79244517?w=wall-79244517_1628690_r1629045;Lenochka Suprunenko;https://vk.com/id530215519;28 Jul 2025;Виски ЗаречнаяКузьма Заречная;0;1;0;0
https://vk.com/wall-79244517_1596084?reply=1596108;https://vk.com/club79244517?w=wall-79244517_1596084_r1596108;Good Weather;https://vk.com/id136440536;17 Jun 2025;В Заречном Пензенской обл.Мойва бьёт все рекорды-за год с 99р-120р подорожала аж на 300% +- смотря где-совсем окоянные Осатанели!?(;0;0;0;0
https://vk.com/wall-79244517_1545919;https://vk.com/club79244517?w=wall-79244517_1545919;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;6 May 2025;Рассвет на Заречный улицеФото: Артем Панфилов;4600;15;2;0
https://vk.com/wall-79244517_1506642;https://vk.com/club79244517?w=wall-79244517_1506642;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;28 Mar 2025;"""Наводнение в Красном Сулине! В посёлке Заречном затопило подворья! Вода залила огороды, колодцы, разрушила мостики через ручей! Вместо земли теперь лежит глина и разбросанные брёвна. Show moreПричина случившегося понятна — раньше рядом с домами был пруд, из которого вода стекала через трубу и спокойно уходила дальше. Но в ноябре 2024 года какие-то непонятные люди её выкопали. Теперь вся вода хлынула ко мне во двор! Не знаем, кто точно виноват в сложившейся беде, но очень хотим разобраться! Потому что так быть не должно!"", — негодует подписчик группы ""Ростов Главный"". Видео могут смотреть только подписчики [club79244517|оригинальной группы «Ростов Главный»]";18000;54;15;0
https://vk.com/wall-79244517_1466973?reply=1467019&thread=1467009;https://vk.com/club79244517?w=wall-79244517_1466973_r1467019;Sergey A;https://vk.com/id722237393;22 Feb 2025;[id755952156|Алексей], табачку кое как вынесли на Заречную,а Тавр уже лет 20 всё никак не могут!;0;0;0;0
https://vk.com/wall-79244517_1441250?reply=1443309&thread=1441258;https://vk.com/club79244517?w=wall-79244517_1441250_r1443309;Vasily Alibabaevich;https://vk.com/id869485754;1 Feb 2025;[id842990727|Кирилл],;0;0;0;0
https://vk.com/wall-79244517_1422292;https://vk.com/club79244517?w=wall-79244517_1422292;Ростов Главный - новости Ростова-на-Дону;https://vk.com/club79244517;14 Jan 2025;12 мест для Крещенских купаний оборудуют в Ростове. Всего в области их будет около 70, а за безопасностью будут следить 300 сотрудников МЧС. Show moreСпасатели проверяют дно каждого водоема, оценивают уровень подготовки мест.Места для Крещенских купаний в Ростове:Гремучий источник на Портовой, 72 Купель у Храма Преполовения Пятидесятницы на Всесоюзная, 167Серафимовский источник в Ботсаду Район за дамбой Ростовского моря (Храм Веры, Надежды, Любви иМатери их Софьи) на Прокофьева, 34Источник Георгиевский в переулке Красноярском, 13 Храмовая купель в Георгиевском паркена 339-й Стрелковой дивизии, 33Северное водохранилищеу Александро-Невского храма,Космонатов, 2ДСурб-хач, Баграмяна, 1 Район перед дамбой Ростовского моря( Спасский храм) на ОрскойРодник водопадный на Заречной, 54Источник на территории Свято-Иверского монастыря на Неклиновской, 4 Родник «Серебряный» в переулке Красноярский, 13;9600;23;19;0
https://vk.com/wall-79244517_1280666?reply=1281262;https://vk.com/club79244517?w=wall-79244517_1280666_r1281262;Andrey Stratiychuk;https://vk.com/id870931953;31 Aug 2024;Уж лучше;0;0;0;0
